,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,50,15,126,226,126,200,89,163,126,200,163,126,89,236,89,200,226,191,226
1,85,50,126,261,236,163,163,200,200,310,126,89,89,126,126,163,121,121,191
2,85,15,16,156,163,126,310,163,384,310,89,126,126,126,89,126,50,15,121
3,156,191,126,191,310,200,126,236,52,310,236,236,126,236,52,163,156,85,156
4,226,156,16,191,89,126,163,163,384,273,126,163,163,126,236,126,50,15,50
5,156,121,-94,191,-20,163,16,163,89,273,126,163,-20,200,16,163,226,85,156
6,156,191,16,226,126,236,16,273,52,384,126,200,52,273,89,200,226,156,226
7,85,85,16,191,89,200,236,273,384,347,16,126,126,163,163,200,121,121,226
8,50,226,126,226,236,236,126,310,-20,310,126,200,89,200,89,236,261,191,297
9,156,156,126,156,126,126,163,200,163,236,52,52,89,126,200,163,85,50,156
10,156,121,16,121,126,163,126,200,52,273,126,126,52,200,89,236,191,121,226
11,191,191,126,156,310,200,89,200,-57,236,163,126,163,236,126,200,121,156,191
12,156,50,89,121,236,163,273,126,384,126,52,52,236,163,236,126,-19,85,121
13,85,85,163,121,236,200,89,163,-20,126,163,126,126,236,52,200,85,156,156
14,191,50,126,121,126,126,89,89,163,163,89,89,126,89,126,126,15,121,50
15,191,85,89,85,89,89,89,52,126,163,89,163,89,126,89,126,156,156,50
16,191,191,163,156,236,89,16,89,-131,126,163,200,52,126,89,126,156,156,15
17,191,121,52,156,89,52,163,16,273,16,89,163,126,89,273,52,-55,50,-125
18,121,191,52,85,89,52,-57,-20,-131,-20,200,273,52,126,89,126,50,15,-160
19,261,261,163,50,89,-57,-57,-131,16,-57,200,163,163,-20,126,89,15,-19,-231
20,226,156,89,50,16,-94,52,-167,200,-131,126,89,163,-20,52,52,85,15,-125
21,156,191,126,156,163,-20,-20,-94,-94,-94,163,89,126,52,-20,52,121,85,-19
22,156,85,16,85,89,-57,163,-57,347,16,89,16,200,-20,273,16,-55,15,-19
23,85,85,16,50,126,16,89,-20,52,126,200,126,52,89,200,52,15,15,85
24,156,156,89,121,126,16,16,16,89,163,200,163,126,89,236,89,-19,50,85
25,156,50,-20,85,-20,16,126,-20,310,126,89,89,89,16,126,52,-19,50,121
26,121,156,16,85,163,52,52,52,16,200,163,126,16,52,16,89,85,121,226
27,156,121,52,15,126,-57,236,16,420,236,52,16,89,-57,200,126,-55,15,156
28,50,85,16,-55,52,16,163,52,236,126,89,52,-20,16,89,163,85,-19,156
29,85,156,89,15,89,89,52,89,126,89,126,52,-20,52,163,89,85,50,121
30,121,50,52,-19,52,89,236,126,457,200,16,16,16,52,200,16,-19,50,156
31,85,121,126,-19,273,163,200,236,89,273,89,52,16,126,52,126,85,191,226
32,191,50,163,15,273,89,310,163,310,200,-20,-131,163,52,163,52,-55,121,121
33,121,-55,89,50,236,200,273,163,200,200,52,-94,163,200,89,126,85,191,191
34,156,85,273,156,347,200,163,200,16,236,200,-20,200,163,163,126,191,261,226
35,226,50,236,121,236,89,384,163,384,200,163,-20,273,-20,273,89,121,226,191
36,156,121,236,121,273,89,236,163,16,200,236,52,126,16,126,126,261,297,261
37,226,121,200,191,236,89,273,163,273,200,126,-20,126,89,236,52,121,156,191
38,121,50,16,191,89,200,273,163,384,200,89,16,126,236,163,126,156,121,226
39,85,121,126,191,163,236,52,200,89,236,163,126,89,273,126,126,156,156,121
40,191,85,126,121,52,126,163,126,420,200,126,126,163,89,273,89,50,85,15
41,191,156,163,50,163,89,16,89,52,163,200,200,52,89,52,126,191,121,50
42,226,226,236,121,236,52,89,89,126,89,163,163,163,89,163,89,121,156,50
43,121,50,126,156,163,89,236,89,347,89,52,89,163,163,273,52,156,191,121
44,85,85,236,191,310,200,163,163,52,126,163,163,163,273,236,52,261,226,191
45,121,85,200,191,200,163,347,126,494,89,52,126,273,200,310,52,121,156,121
46,50,121,163,121,200,200,273,126,236,163,89,200,200,163,126,126,191,191,191
47,121,226,200,156,273,126,273,163,200,273,126,200,236,52,236,163,85,261,191
48,85,85,52,121,163,52,420,126,420,200,52,126,200,52,236,89,15,191,191
49,50,156,89,121,236,163,273,200,52,200,163,200,52,200,163,163,156,191,297
50,85,85,89,85,89,89,347,163,420,273,52,89,89,52,384,126,15,85,226
51,15,85,52,50,89,126,273,200,273,273,52,126,16,126,236,200,156,121,332
52,50,191,163,191,200,200,200,273,126,273,89,126,126,200,126,200,156,156,332
53,121,85,126,191,52,200,273,236,420,236,16,89,163,200,89,163,50,50,261
54,121,121,126,156,126,236,89,273,52,273,163,236,52,200,16,200,156,121,297
55,226,156,163,156,89,89,163,200,310,200,52,200,89,52,200,126,50,-19,121
56,121,191,52,191,16,126,163,126,236,126,52,236,16,126,52,126,156,15,121
57,121,261,126,261,89,163,-57,126,-94,126,126,236,-57,126,-20,126,191,-19,50
58,156,121,89,226,-94,126,16,126,200,126,89,200,52,126,126,52,50,-55,-55
59,191,191,126,156,-20,236,-167,163,-241,126,200,310,16,200,-57,126,226,50,-19
60,261,261,200,261,-20,200,-131,126,-94,89,126,273,126,126,52,89,226,85,-125
61,121,261,126,297,-131,163,-94,89,16,16,52,273,52,126,-20,89,332,15,-125
62,121,402,163,332,-20,163,-204,126,-241,16,163,347,-20,163,-20,163,297,15,-90
63,121,226,89,226,-131,126,16,89,236,52,52,273,52,126,200,89,50,-55,-125
64,-19,191,52,156,-20,163,-57,126,-57,126,89,273,-20,163,52,126,121,50,-19
65,15,297,126,191,89,163,-20,163,-57,200,89,236,126,89,89,89,121,156,-19
66,50,297,89,226,16,126,89,126,89,200,52,200,163,89,52,52,226,191,85
67,85,367,200,226,273,200,89,200,-204,236,163,273,163,163,89,163,297,261,226
68,121,121,200,191,236,200,310,236,236,200,126,126,273,200,310,89,85,191,297
69,15,15,126,121,200,310,273,273,52,200,163,163,200,347,163,89,156,226,367
70,85,156,236,156,273,273,163,310,-20,236,200,200,200,273,200,89,156,226,261
71,121,191,126,85,126,126,273,200,236,200,89,200,200,126,126,89,85,121,156
72,121,297,163,85,273,126,89,236,-94,200,200,273,200,200,16,200,261,226,226
73,191,156,163,121,163,126,163,200,200,163,89,163,236,236,200,126,15,156,121
74,50,50,52,50,89,236,163,236,126,89,126,236,89,384,200,89,50,156,156
75,50,121,126,85,200,236,52,200,16,89,163,236,52,273,200,89,85,156,50
76,85,50,89,15,52,89,200,52,347,16,16,163,52,126,200,126,50,85,-55
77,50,85,126,15,126,89,-20,52,-57,16,163,163,52,126,16,236,191,191,15
78,121,85,163,15,126,16,52,16,163,52,89,52,273,16,163,126,-19,121,-55
79,50,50,89,-19,89,52,126,16,163,52,126,89,310,89,89,126,15,121,15
80,121,191,236,50,273,89,52,52,-94,16,200,163,200,126,89,126,85,191,50
81,121,156,163,85,126,89,273,52,347,16,89,126,126,89,236,89,-19,156,50
82,85,191,126,15,126,126,163,89,52,16,163,163,16,126,126,163,85,191,121
83,121,156,200,85,163,89,163,126,200,89,126,126,200,89,273,89,-19,156,121
84,85,50,126,121,52,163,236,126,273,52,89,89,200,126,200,89,15,156,191
85,85,226,236,226,236,236,52,200,-57,126,200,163,200,163,52,163,191,226,226
86,156,226,163,261,163,200,200,163,310,163,89,126,273,126,126,126,156,156,121
87,85,156,126,191,163,236,89,163,-20,163,163,126,52,236,-20,163,226,156,191
88,156,121,200,261,200,236,89,236,52,236,163,126,89,200,126,200,85,121,226
89,121,15,89,191,89,200,236,200,347,163,52,89,52,126,89,163,15,50,156
90,15,226,126,191,163,236,52,200,-20,126,163,200,52,200,-20,200,156,121,156
91,50,226,89,156,52,126,126,89,236,89,126,89,163,89,163,126,85,15,15
92,85,156,52,85,-20,163,16,126,52,89,236,89,126,163,52,163,156,50,50
93,226,156,163,156,16,163,-131,163,-20,163,273,52,126,126,52,163,85,85,50
94,226,85,89,121,-94,126,16,163,273,163,163,89,163,52,89,89,15,15,85
95,85,261,163,156,89,163,-57,200,-94,236,236,236,126,163,-20,200,191,121,226
96,121,261,200,191,126,126,126,163,236,236,126,89,200,89,200,163,85,85,156
97,50,191,89,121,16,163,126,163,200,273,200,126,126,200,163,236,85,50,156
98,156,226,126,85,89,126,-20,163,-20,273,310,163,163,126,126,236,-19,15,85
99,226,121,52,121,16,89,126,126,310,236,200,126,236,52,200,126,-90,15,85
100,156,191,89,261,163,236,89,200,-57,163,236,163,163,200,16,163,121,261,156
101,156,261,163,332,236,273,236,200,163,163,126,89,273,236,163,126,85,261,121
102,85,156,52,226,163,273,310,200,273,200,126,126,236,236,163,163,85,191,156
103,121,191,89,226,200,273,89,163,-57,163,273,163,126,200,126,200,15,121,85
104,191,85,-20,191,16,163,200,89,310,89,200,126,126,126,273,163,-125,-19,15
105,156,121,-20,121,52,163,126,52,-20,52,236,163,16,89,89,163,50,15,50
106,156,191,52,156,126,126,126,52,52,52,126,163,89,16,126,126,15,85,-19
107,50,50,-57,121,-20,89,163,16,163,16,89,89,89,-20,89,126,-19,85,-55
108,15,-55,16,156,16,126,-57,52,-204,52,200,52,52,52,16,200,-19,156,-90
109,15,-195,-20,121,-131,52,89,52,200,126,89,-131,163,-131,200,163,-160,85,-125
110,-19,-19,-57,50,-94,16,126,52,-20,126,200,-57,89,-131,89,200,-19,191,-19
111,15,226,-57,121,16,-20,89,16,-57,52,273,52,89,-131,126,126,15,226,-19
112,15,156,-167,156,-167,16,200,-20,163,16,163,52,16,-167,89,16,50,156,-19
113,-19,156,-57,156,-94,16,-20,52,-204,89,347,163,16,-204,16,126,191,226,85
114,121,50,52,85,-167,-94,89,-20,126,89,347,-57,126,-388,163,126,-55,85,-55
115,50,15,-20,15,-204,-57,52,-20,-57,16,420,16,52,-315,52,126,15,121,-19
116,-19,156,16,121,-94,89,-57,89,-167,16,457,52,89,-315,126,89,85,156,-55
117,-19,15,-94,191,-241,126,52,89,163,52,384,52,163,-315,236,89,50,85,-55
118,-19,-19,16,191,-167,273,-204,163,-241,126,568,163,163,-241,126,163,226,191,-19
119,121,50,126,226,-167,273,-167,126,16,52,568,52,236,-388,236,16,85,85,-125
120,121,121,89,261,-167,384,-94,126,16,16,604,126,163,-425,126,16,226,121,-55
121,156,297,236,367,52,420,-94,200,-204,16,678,236,126,-499,52,52,261,191,-55
122,191,226,163,332,-20,384,89,126,163,16,531,236,200,-572,236,52,156,121,-90
123,121,191,163,297,-20,384,-94,126,-204,-20,568,236,89,-425,89,89,261,85,-55
124,121,191,236,297,-57,347,-131,126,-57,-20,420,126,200,-499,236,89,121,50,-125
125,15,85,163,191,-94,347,16,126,163,52,347,126,163,-535,200,89,85,85,-19
126,-19,156,236,191,126,384,52,200,-20,126,384,163,89,-499,163,89,156,226,121
127,50,50,200,261,52,347,273,236,384,163,236,126,126,-462,273,89,121,191,156
128,15,85,200,261,89,420,89,273,16,163,273,200,89,-351,89,126,261,191,191
129,156,261,347,226,163,347,89,273,52,126,310,163,273,-388,310,89,156,191,156
130,121,191,273,50,52,273,236,200,310,89,163,89,200,-315,347,89,15,85,156
131,15,191,236,50,126,347,89,310,52,273,163,126,-20,-131,126,310,85,156,297
132,-19,50,163,156,52,347,236,310,457,310,-20,52,16,-131,200,273,15,121,297
133,-55,15,200,191,126,384,200,310,200,200,52,89,52,52,16,200,226,191,367
134,85,121,420,156,273,310,126,310,89,200,89,126,126,16,126,126,226,226,297
135,156,15,384,50,200,163,236,236,310,273,-57,52,126,-20,236,126,156,156,261
136,85,121,420,85,347,200,126,236,-20,347,16,236,52,200,52,236,367,297,402
137,121,156,420,156,347,163,347,236,457,310,-94,200,163,200,89,236,226,261,402
138,15,121,420,121,384,236,384,273,384,200,-57,236,163,347,-57,236,332,332,437
139,85,191,531,156,494,273,236,310,126,126,52,163,200,347,16,236,332,332,297
140,191,85,457,85,236,200,236,200,310,163,-57,52,200,273,236,163,261,191,156
141,156,191,457,85,310,200,89,200,-20,273,52,163,52,347,126,236,402,191,261
142,191,226,420,121,347,89,273,126,273,163,-94,126,163,310,126,126,226,85,191
143,121,156,273,121,310,89,310,126,273,236,-94,236,163,420,-57,200,297,121,261
144,191,297,384,191,420,126,126,200,-20,273,16,273,126,420,-57,236,332,156,191
145,261,226,273,121,236,52,273,126,347,126,-57,163,163,384,126,126,156,85,85
146,156,191,236,50,273,52,163,126,16,52,-20,200,89,494,52,163,156,85,191
147,121,156,200,85,310,16,273,89,126,126,-131,163,126,457,200,200,-19,-55,156
148,-19,85,16,50,163,16,384,52,273,200,-204,236,89,420,126,273,-19,-125,226
149,-19,226,52,50,236,16,200,89,-20,236,-131,310,16,457,16,236,50,-19,226
150,85,191,-20,-90,52,-94,347,16,384,126,-167,200,126,310,163,89,-160,-90,121
151,85,121,-94,-195,52,-167,163,-20,89,-20,-20,126,52,273,16,163,-90,-90,85
152,121,121,-20,-125,126,-167,52,16,89,-94,16,89,89,347,163,163,-125,-90,121
153,85,15,-57,-90,16,-94,236,16,347,-57,-131,52,16,420,89,89,-55,-160,191
154,50,121,52,-55,200,-57,126,52,-94,163,-94,163,-57,347,-94,236,156,-55,226
155,85,85,-20,-55,89,-204,163,-20,200,236,-167,52,16,52,16,236,85,-55,121
156,50,50,-94,-90,16,-167,52,-20,52,163,-20,52,-20,163,-57,200,226,50,121
157,156,226,16,15,89,16,-57,89,-20,89,126,126,126,310,16,126,191,156,50
158,226,226,-20,50,-20,52,89,126,236,16,89,163,200,200,126,16,85,85,15
159,156,297,52,156,126,126,16,200,-131,163,200,273,89,163,52,126,332,261,121
160,121,261,16,226,126,200,126,200,163,236,52,89,52,-20,163,126,226,191,85
161,-55,156,-131,85,52,310,126,236,126,163,89,89,16,-57,126,200,261,156,156
