,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-55,156,236,261,273,89,200,-20,604,89,273,89,494,89,494,52,-55,-19,-301
1,-19,156,126,50,200,16,273,52,-793,126,126,89,347,89,347,126,85,156,15
2,50,191,236,191,384,200,457,273,-57,457,163,163,457,236,457,273,50,191,85
3,50,121,126,191,310,200,457,347,310,347,89,163,384,273,384,310,85,261,191
4,191,191,200,367,384,420,457,494,236,200,163,273,273,384,273,384,402,437,367
5,191,191,200,332,347,420,384,531,200,236,126,273,236,384,200,310,156,367,402
6,156,156,126,402,310,531,310,531,236,236,126,347,236,420,126,347,508,649,508
7,226,226,273,543,420,678,310,531,126,163,236,347,310,420,126,384,508,578,508
8,121,85,200,402,236,457,89,347,-57,52,126,236,236,273,52,236,332,437,332
9,156,191,200,508,236,494,-20,310,494,126,200,310,273,273,126,200,543,508,332
10,226,332,236,473,200,347,-57,200,825,52,236,273,273,200,200,163,261,261,121
11,226,332,200,437,52,200,-315,16,-462,-131,236,236,163,200,16,126,332,261,-125
12,191,297,273,437,89,236,-425,-57,-1235,-167,236,200,126,200,16,163,191,121,-407
13,-125,121,89,261,-94,16,-388,-131,-499,16,89,89,163,126,126,89,-195,-19,-547
14,-160,156,89,332,52,126,-94,-20,457,273,163,200,310,163,347,126,85,156,-407
15,-55,156,236,261,273,89,200,-20,604,89,273,89,494,89,494,52,-55,-19,-301
16,-55,85,236,121,236,-20,200,16,420,200,273,52,420,52,420,52,85,50,-90
17,85,191,384,261,384,200,310,310,347,641,347,163,347,236,347,236,261,191,226
18,85,156,273,191,236,163,273,494,236,641,236,163,200,310,126,310,50,156,297
19,156,261,236,332,236,347,200,568,126,163,200,347,163,457,16,420,332,402,367
20,261,332,236,297,89,163,52,-131,126,-572,200,236,52,52,126,16,50,85,85
21,50,191,52,121,-57,-20,52,-167,494,-57,52,89,89,16,126,16,-55,85,85
22,85,261,126,226,163,126,347,89,752,236,163,200,273,126,310,163,121,156,191
23,50,261,163,85,163,-20,384,16,-351,-57,163,52,347,52,384,89,-160,-55,-19
24,156,191,273,226,273,273,163,200,236,236,163,52,163,163,126,16,226,297,191
25,85,191,163,156,236,200,126,200,163,236,89,52,89,52,89,200,121,226,121
26,15,191,126,121,236,126,89,200,200,273,89,52,126,52,126,236,15,121,85
27,-90,121,16,50,163,52,89,163,273,273,52,52,126,126,200,89,15,85,85
28,-55,156,-20,121,126,16,89,126,273,236,89,126,126,200,200,-57,50,15,50
29,50,191,-20,121,16,-57,16,52,126,200,16,163,16,126,52,89,121,-55,50
30,156,261,16,191,-20,-57,-20,52,163,200,52,200,-20,89,52,236,191,-90,50
31,297,332,163,297,16,-20,-20,52,236,236,200,273,52,236,126,200,226,-90,85
32,261,261,163,226,16,16,-20,89,200,236,163,236,16,236,52,163,121,-19,50
33,191,226,163,191,52,89,16,200,163,310,200,126,89,200,89,273,85,85,191
34,191,156,236,121,163,126,126,310,273,310,273,16,200,126,200,273,85,156,261
35,121,50,236,85,273,200,236,310,384,310,273,52,236,236,273,200,156,226,297
36,156,121,310,156,310,310,273,310,310,236,273,89,273,273,310,200,191,297,297
37,191,121,236,156,310,310,236,273,200,200,236,89,273,163,273,273,226,332,261
38,156,156,236,261,384,384,273,310,236,273,310,200,347,236,310,310,261,508,367
39,121,226,273,297,420,420,310,310,236,200,273,200,310,236,236,200,156,402,261
40,15,121,89,121,273,273,200,163,126,52,89,126,163,163,89,163,85,191,191
41,-19,-19,52,-55,200,89,163,89,126,16,89,-20,163,89,163,126,50,15,261
42,-160,-231,52,-195,200,-20,236,89,236,16,52,-94,126,52,163,126,15,-55,226
43,-231,-231,89,-125,163,-20,200,89,273,52,89,-20,126,52,200,163,50,-19,156
44,-55,-160,200,-19,200,16,126,89,273,52,163,16,163,52,200,89,121,-55,121
45,-55,-195,200,-55,236,-20,126,16,163,16,89,-20,126,16,89,-20,156,15,121
46,-19,-160,236,-19,310,52,163,52,89,52,126,-20,163,52,89,52,156,85,191
47,-19,-125,236,-19,310,89,200,126,89,89,89,-20,200,16,126,89,156,156,191
48,-125,-125,126,-19,273,126,163,126,126,52,16,-20,200,52,163,52,85,226,121
49,-90,-90,126,50,273,163,200,126,200,89,52,16,236,52,273,89,156,261,191
50,-90,-55,89,85,236,163,236,126,200,89,-20,16,163,-20,163,89,156,297,121
51,-19,50,89,156,200,200,126,163,163,126,-20,89,126,52,89,126,156,261,85
52,85,85,126,191,163,163,89,163,200,52,-20,89,89,126,52,16,191,191,121
53,85,85,126,191,163,200,163,200,236,52,16,126,89,200,89,16,226,191,261
54,156,191,200,261,200,236,200,273,163,200,89,236,126,236,89,236,226,191,297
55,121,226,163,261,126,200,163,347,126,236,52,200,52,89,-20,310,156,121,226
56,156,226,163,261,126,200,89,384,163,200,126,273,89,163,89,273,226,121,261
57,297,261,273,261,200,236,200,420,163,200,163,273,126,236,126,163,226,226,191
58,226,226,236,297,163,310,236,457,89,273,126,273,126,236,126,126,191,332,85
59,226,297,273,332,236,347,236,420,89,236,200,273,200,200,200,163,191,297,85
60,261,156,273,191,236,236,273,310,163,52,200,163,236,52,236,89,191,156,50
61,261,156,236,156,200,163,200,236,163,-20,200,200,236,126,200,52,191,156,15
62,297,226,200,191,89,200,126,273,163,126,126,200,126,163,163,126,50,156,-90
63,121,156,52,156,-57,200,16,310,126,273,16,200,52,126,126,236,-19,191,-125
64,85,121,16,121,-94,163,-20,273,52,200,16,163,16,89,89,200,-55,85,-125
65,85,85,16,85,-94,89,-20,200,52,163,16,126,16,52,89,126,-19,-19,-90
66,50,85,-20,85,-94,52,-20,163,52,163,16,126,16,52,52,16,-55,-19,-90
67,85,85,16,15,-94,-20,-57,52,16,89,52,52,52,16,52,-57,-125,-125,-90
68,-19,-55,-94,-125,-131,-94,-20,-57,89,52,-20,-57,16,-57,89,-57,-195,-125,-55
69,15,-55,-57,-90,-57,-20,89,-20,163,16,16,-20,89,-20,200,16,-160,-55,50
70,-19,-55,-20,-125,-20,-20,89,-20,126,-20,16,-57,126,-20,200,89,-55,15,156
71,-55,15,16,-19,52,52,163,52,126,89,16,16,163,16,200,163,15,50,156
72,50,85,52,15,89,52,163,52,163,126,52,52,163,52,163,89,15,15,121
73,-19,-19,-20,-55,16,16,52,16,89,89,-20,-57,89,-20,52,16,-90,15,50
74,-19,-55,-57,-90,-20,16,16,52,89,126,16,-57,126,-20,126,126,-125,50,121
75,50,-55,-20,-90,16,52,126,52,163,126,52,-20,126,-20,163,89,-90,50,191
76,15,15,-57,15,-20,89,163,52,126,52,-20,89,89,89,89,-20,-55,50,121
77,15,121,-20,121,-20,126,89,52,89,89,52,200,89,126,89,52,15,50,121
78,15,85,16,85,-20,89,89,52,89,126,52,89,89,16,89,89,15,-19,85
79,85,85,52,15,52,52,89,52,89,126,126,52,126,52,163,126,50,15,156
80,191,85,163,15,163,52,89,52,89,52,200,52,163,89,126,89,85,15,156
81,156,50,163,15,163,89,89,89,89,89,163,89,163,89,126,126,191,121,226
82,156,85,236,121,273,200,236,200,200,200,200,163,236,126,200,200,226,226,367
83,50,50,200,156,273,236,310,236,310,273,163,163,236,126,200,200,226,226,297
84,50,121,126,226,200,236,200,163,200,163,126,200,126,126,126,126,156,226,85
85,297,297,163,226,163,236,89,52,89,52,163,236,126,89,89,52,191,156,15
86,367,402,163,226,126,200,89,89,16,52,163,236,89,126,52,52,261,226,121
87,437,508,236,297,200,236,163,126,16,126,236,310,126,200,126,89,297,191,191
88,402,473,200,261,163,163,126,126,89,163,163,273,126,126,126,163,261,121,121
89,261,437,126,261,89,126,89,163,52,200,126,273,126,163,126,273,191,121,15
90,261,402,126,226,89,89,16,163,52,163,163,236,126,163,89,236,85,-19,-19
91,156,191,52,50,16,-20,52,89,52,89,89,89,89,126,89,89,50,-55,85
92,191,121,52,15,89,16,163,89,163,126,163,89,163,163,200,89,85,-19,226
93,226,156,126,85,126,89,273,163,273,200,200,163,200,200,236,200,156,156,226
94,191,297,126,156,126,200,273,200,200,273,126,200,126,200,163,200,156,226,121
95,226,332,163,191,126,273,200,200,163,236,126,126,89,163,163,163,156,261,156
96,191,226,89,156,89,236,200,163,200,273,52,52,52,89,89,89,121,297,121
97,121,191,52,156,52,273,163,200,163,273,52,89,16,126,52,126,85,367,121
98,85,226,52,156,89,163,126,163,126,200,52,16,52,52,-20,89,50,226,121
99,50,85,-57,15,52,16,89,126,89,200,16,-57,16,-20,-20,52,-19,121,121
100,85,121,-20,15,16,16,89,126,126,236,89,-20,52,89,89,52,-55,85,50
101,85,121,-20,-19,-20,-20,89,126,126,163,52,16,52,126,89,52,-55,50,15
102,15,121,16,50,16,16,126,126,89,200,89,89,126,200,163,163,15,121,121
103,85,191,126,85,126,89,236,163,163,236,163,126,163,236,200,200,85,85,226
