,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-231,-19,-278,15,-204,347,-241,-57,-131,16,-204,16,-94,236,16,89,-371,15,-160
1,-231,-19,-278,-19,-204,310,-241,16,-131,89,-204,52,-94,236,16,163,-336,85,-125
2,-231,-90,-278,-55,-204,236,-278,52,-204,16,-241,-20,-131,126,16,89,-301,226,-160
3,-266,-19,-278,-55,-241,200,-315,16,-204,52,-241,16,-204,126,-20,52,-231,226,-160
4,-195,85,-241,15,-204,236,-351,16,-131,52,-204,52,-204,126,-94,16,-195,367,-90
5,-231,50,-241,-19,-204,200,-388,16,-204,52,-241,52,-278,52,-241,-20,-266,367,-125
6,-231,50,-278,-55,-204,163,-351,16,-167,200,-241,52,-241,52,-204,16,-195,437,-19
7,-195,50,-204,-55,-167,163,-351,52,-204,236,-241,16,-204,16,-204,16,-160,578,-55
8,-195,50,-204,-55,-167,163,-388,52,-278,163,-241,16,-241,52,-167,16,-125,578,-90
9,-125,50,-204,-19,-131,200,-315,89,-278,126,-167,16,-167,126,-131,-20,-90,649,-55
10,-160,-19,-241,-55,-131,236,-351,163,-351,89,-204,16,-241,126,-241,52,-125,649,-55
11,-160,50,-278,-55,-167,200,-388,163,-315,16,-131,52,-204,163,-278,126,-90,649,15
12,-125,85,-204,-55,-131,200,-278,163,-278,16,-167,89,-167,126,-278,52,-125,754,15
13,-195,50,-241,-55,-167,163,-278,163,-204,163,-241,89,-204,126,-167,52,-125,684,-19
14,-160,85,-204,-19,-131,126,-204,200,-57,310,-204,89,-131,89,-20,163,-90,719,50
15,-125,50,-167,-19,-94,126,-204,273,-20,310,-167,-20,-131,16,-57,200,-195,754,15
16,-125,50,-167,-19,-94,126,-204,273,-20,310,-167,-20,-131,16,-57,200,-195,754,15
17,-19,85,-278,121,-315,384,-278,-57,-167,52,126,16,-20,236,163,89,-336,-371,-371
18,-125,15,-315,85,-388,384,-278,-131,-167,-167,-20,52,-57,273,126,89,-407,-407,-407
19,-125,85,-278,156,-351,384,-204,-167,-131,-241,-20,89,16,273,163,89,-336,-301,-336
20,-195,50,-278,156,-315,420,-204,-131,-167,-57,-94,16,16,200,89,52,-407,-195,-301
21,-266,-19,-315,121,-278,420,-241,-131,-167,-57,-131,16,-57,273,126,52,-407,-90,-195
22,-195,-19,-241,121,-204,457,-167,-94,-131,-57,-131,16,-57,310,126,52,-371,50,-160
23,15,121,89,50,163,126,310,52,200,163,16,273,236,273,163,273,85,85,15
24,-19,226,89,121,236,126,310,89,126,347,-20,273,200,89,52,236,85,85,50
25,-19,332,126,156,273,126,310,89,200,384,-57,310,200,126,52,163,50,156,121
26,-19,226,126,191,310,163,347,126,273,273,-94,273,200,236,126,200,-19,156,121
27,-90,85,89,191,236,236,310,126,236,200,-131,236,163,200,200,273,-55,226,156
28,-55,121,89,191,236,236,273,200,273,310,-94,200,126,89,163,273,-19,191,191
29,-90,156,89,191,200,163,236,200,310,420,-94,200,126,16,52,200,15,156,156
30,-19,191,52,191,200,200,200,200,236,494,-57,236,126,89,-20,200,50,226,226
31,50,226,89,226,236,200,236,200,200,420,16,310,126,273,89,200,15,156,226
32,50,261,126,191,236,163,200,163,163,236,16,347,89,200,126,163,15,191,226
33,50,297,163,191,273,163,273,163,200,273,16,347,163,16,52,200,85,261,226
34,15,191,200,191,310,163,273,163,236,236,-20,236,200,52,16,236,85,191,261
35,-19,85,236,226,310,200,273,163,347,236,-20,236,200,200,89,200,121,261,297
36,50,85,273,297,310,236,273,200,347,273,52,200,200,163,163,126,156,226,332
37,156,121,273,297,273,200,273,200,273,273,163,200,163,89,236,126,226,226,332
38,297,226,310,297,347,200,273,200,310,310,273,273,200,126,200,163,332,226,402
39,297,226,384,261,384,163,310,200,384,310,273,273,236,200,163,126,261,191,402
40,226,191,384,261,420,163,347,200,494,236,236,236,273,200,236,126,261,226,402
